canonical_smiles,standard_value
[H]c1nc(F)c(N([H])C(=O)[C@]2([H])C([H])([H])N(C([H])([H])C3([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])n1c(=O)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21,1.0
[H]c1nc(F)c(N([H])C(=O)[C@]2([H])C([H])([H])N(C([H])([H])C(F)(F)F)C([H])([H])C2([H])[H])c([H])c1C([H])([H])n1c(=O)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21,1.0
O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1Cl)[C@H]1CCNC1.O=C(O)C(F)(F)F,1.0
[H]c1c([H])c(C([H])([H])n2c(=O)n([H])c(=O)c3c([H])c([H])c([H])c([H])c32)c([H])c(N([H])C(=O)[C@]2([H])C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])c1Br,1.0
[H]c1c([H])c(C([H])([H])n2c(=O)n([H])c(=O)c3c([H])c([H])c([H])c([H])c32)c([H])c(N([H])C(=O)[C@]2([H])C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])c1Cl,1.0
[H]c1nc(F)c(N([H])C(=O)[C@]2([H])C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])n1c(=O)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21,1.0
[H]c1nc(Cl)c(N([H])C(=O)[C@]2([H])C([H])([H])N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])n1c(=O)n([H])c(=O)c2c([H])c([H])c([H])c([H])c21,1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])C([H])([H])C([H])([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])C([H])(C([H])([H])[H])C([H])([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])C1([H])C([H])([H])C1([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],1.0
[H]c1c(F)c([H])c2c(nc(-c3sc4c(c3C([H])([H])[H])C([H])([H])C([H])([H])N([H])C4([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2C([H])([H])C([H])([H])[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2C([H])([H])[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2C([H])([H])[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])oc2c1C([H])([H])C([H])([H])N([H])C2([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc(C([H])([H])N([H])C([H])([H])[H])c1[H],1.0
[H]c1c(F)c([H])c2c(nc(C3=NC4([H])C([H])([H])C([H])([H])N([H])C([H])([H])C4([H])S3)n2[H])c1C(=O)N([H])[H],1.0
[H]c1c(-c2nc3c([H])c(F)c([H])c4c3n2C([H])([H])C([H])([H])N([H])C4=O)sc2c1C([H])([H])N([H])C([H])([H])C2([H])[H],1.0
[H]c1c(-c2nc3c([H])c(F)c([H])c4c3n2C([H])([H])C([H])([H])N([H])C4=O)sc2c1C([H])([H])C([H])([H])N([H])C2([H])[H],1.0
[H]OC(=O)c1c([H])c(F)c([H])c2c1nc(C1=C([H])C3([H])C([H])([H])C([H])([H])N([H])[C@@]([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C3([H])S1)n2[H],1.0
[H]OC(=O)c1c([H])c(F)c([H])c2c1nc(C1=C([H])C3([H])C([H])([H])C([H])([H])N([H])[C@]([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C3([H])S1)n2[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])C([H])([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])N([H])C([H])([H])C2([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N(C([H])([H])[H])C2([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(F)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c(Cl)c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c([H])c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N(C([H])([H])[H])C2([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c([H])c([H])c3n2[H])sc2c1C([H])([H])C([H])([H])N([H])C2([H])[H],1.0
[H]c1c(-c2nc3c(C(=O)N([H])[H])c([H])c([H])c([H])c3n2[H])sc2c1C([H])([H])N([H])C([H])([H])C2([H])[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(-c2nnn([H])n2)c([H])c1[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(C(=O)N2C([H])([H])c3nnc(C(F)(F)F)n3C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(C(=O)N2C([H])([H])c3nnc(C(=O)OC([H])([H])C([H])([H])[H])n3C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(C(=O)N2C([H])([H])c3nnc(C4([H])C([H])([H])C4([H])[H])n3C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(C(=O)N2C([H])([H])c3nnc(C([H])([H])C4([H])C([H])([H])C4([H])[H])n3C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(C(=O)N2C([H])([H])c3nnc(C([H])(C([H])([H])[H])C([H])([H])[H])n3C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(C(=O)N2C([H])([H])c3nnc(C4([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])n3C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(C(=O)N2C([H])([H])c3nnc(-c4nc([H])n(C([H])([H])[H])c4[H])n3C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(C(=O)N([H])C([H])([H])C([H])([H])c2nc3c([H])c([H])c([H])c([H])c3n2[H])c([H])c1[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(C(=O)N([H])C([H])([H])C([H])([H])c2nc3c([H])c(C([H])([H])[H])c([H])c([H])c3n2[H])c([H])c1[H],1.0
[H]/C(=C1/Oc2c(c([H])c([H])c([H])c2C(=O)N([H])[H])C1=O)c1c([H])c([H])c(C(=O)N([H])C([H])([H])C([H])([H])c2nc3c(C(=O)N([H])[H])c([H])c([H])c([H])c3n2[H])c([H])c1[H],1.0
[H]OC(c1c([H])c([H])c(-c2nc3c(F)c([H])c(F)c([H])c3c(=O)n2[H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],1.0
[H]c1nc([H])c2nc(-c3c([H])c([H])c(C([H])([H])N([H])C([H])([H])C([H])([H])[H])c([H])c3[H])n3c2c1C(=O)N([H])C([H])([H])C3([H])[H],1.0
[H]c1nc([H])c2nc(-c3c([H])c([H])c(N4C([H])([H])C([H])([H])N([H])C([H])([H])C4([H])[H])c([H])c3[H])n3c2c1C(=O)N([H])C([H])([H])C3([H])[H],1.0
[H]c1c([H])c(C([H])([H])n2c(=O)n([H])c(=O)c3c([H])c([H])c([H])c([H])c32)c([H])c(C(=O)N([H])C2([H])C([H])([H])N(C([H])([H])C3([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c1F,1.0
CC(C)(C)[Si](C)(C)OCCCN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CC1=O,1.0
[H]c1c([H])c(C([H])([H])N([H])C([H])([H])[H])c([H])c([H])c1-c1oc2c(C(=O)N([H])[H])c([H])c(F)c([H])c2c1[H],1.0
[H]c1c([H])c([H])c2c(nc(C3([H])C([H])([H])N([H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c([H])c([H])c2c(nc(C3(C([H])([H])[H])C([H])([H])N([H])C([H])([H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c(F)c([H])c2c(nc([C@]3(C([H])([H])[H])N([H])C([H])([H])C([H])([H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c([H])c([H])c2c(nc(C3(C([H])([H])[H])C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c([H])c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])(c3nc4c(C(=O)N([H])[H])c([H])c([H])c([H])c4n3[H])C([H])([H])C2([H])[H])c([H])c1[H],1.0
[H]c1c([H])c([H])c2c(nc([C@@]3([H])N([H])C(=O)C([H])([H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c([H])c([H])c2c(nc(C3([H])C([H])([H])C([H])([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]c1c([H])c(C(=O)N([H])[H])c2c(nc(C3([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C3([H])[H])n2[H])c1[H],1.0
[H]c1c([H])c([C@@]2([H])N([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(F)c1-c1nc2c([H])c([H])c([H])c(C(=O)N([H])[H])c2n1[H],1.0
[H]c1c([H])c(C2([H])N([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(F)c1-c1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2n1[H],1.0
[H]c1c([H])c(C2([H])C([H])([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1-c1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2n1[H],1.0
[H]c1c([H])c(C2([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1-c1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2n1[H],1.0
[H]c1c([H])c(C2([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1-c1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2n1[H],1.0
[H]c1c([H])c(C2([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1-c1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2n1[H],1.0
[H]c1c([H])c(C2([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1-c1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2n1[H],1.0
[H]c1c([H])c(C2([H])C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c([H])c1-c1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2n1[H],1.0
[H]c1c([H])c(C2([H])N([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1-c1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2n1[H],1.0
[H]c1c([H])c(C2([H])C([H])([H])N([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1-c1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2n1[H],1.0
[H]c1c([H])c([C@@]2([H])N([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(F)c1-c1nc2c(C(=O)N([H])[H])c([H])c([H])c([H])c2n1[H],1.0
[H]c1nc([H])c(-c2c([H])c([H])c(-c3nc4c(C(=O)N([H])[H])c([H])c([H])c([H])c4n3[H])c([H])c2[H])c([H])c1[H],1.0
[H]c1nc([H])c([H])c(-c2c([H])c([H])c(-c3nc4c(C(=O)N([H])[H])c([H])c([H])c([H])c4n3[H])c([H])c2[H])c1[H],1.0
