canonical_smiles,standard_value
[H]Oc1nc(-c2c([H])c([H])c(N([H])[H])c([H])c2[H])nc2c(C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]c1c([H])c(-c2nc3c(C([H])([H])[H])c([H])c([H])c([H])c3c(=O)n2[H])c([H])c([H])c1F,1.0
[H]c1c([H])c(-c2nc3c(C([H])([H])[H])c([H])c([H])c([H])c3c(=O)n2[H])c([H])c([H])c1Br,1.0
[H]c1c([H])c(-c2nc3c(C([H])([H])[H])c([H])c([H])c([H])c3c(=O)n2[H])c([H])c([H])c1Cl,1.0
[H]Oc1nc(-c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])nc2c(C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc(-c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])nc2c(C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc(-c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])nc2c(C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1-c1nc2c(C([H])([H])[H])c([H])c([H])c([H])c2c(=O)n1[H],1.0
[H]Oc1nc(-c2c([H])c([H])c([H])c([H])c2[H])nc2c(C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]c1c([H])c([H])c([C@]2([H])N([C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(c4c([H])nc(N([H])[H])c([H])c4[H])C([H])([H])C3([H])[H])C(=O)OC2(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],1.0
[H]c1c([H])c([H])c([C@]2([H])N([C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(c4c([H])nc(N([H])[H])c(C#N)c4[H])C([H])([H])C3([H])[H])C(=O)OC2(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],1.0
[H]c1nc(-c2c(N([H])[H])nc([H])c([C@]3([H])C([H])([H])C([H])([H])[C@]([H])(N4C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]4([H])c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])c2[H])nc([H])c1[H],1.0
[H]c1nc(-c2c(N([H])[H])nc([H])c([C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(N4C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]4([H])c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])c2[H])nc([H])c1[H],1.0
[H]c1nc(-c2c(N([H])[H])nc([H])c(-c3c([H])c([H])c(N4C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[C@]4([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])c2[H])nc([H])c1[H],1.0
[H]c1c([H])c(-c2c([H])c([H])c3nc(N([H])[H])nc([H])c3c2[H])c([H])c(C(=O)N([H])c2c([H])c([H])c3c(c2[H])N([H])C(=O)C([H])([H])C3(C([H])([H])[H])C([H])([H])[H])c1F,1.0
[H]OC(=O)[C@]1([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])n2c(=O)c3c(C([H])([H])[H])c([H])c([H])c([H])c3n(C([H])([H])c3c([H])c([H])c([H])c(C(F)(F)F)c3C#N)c2=O)C([H])([H])C1([H])[H],1.0
[H]OC(=O)[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])n2c(=O)c3c(C([H])([H])[H])c(F)c([H])c([H])c3n(C([H])([H])c3c([H])c([H])c([H])c(C(F)(F)F)c3C#N)c2=O)C([H])([H])C1([H])[H],1.0
