canonical_smiles,standard_value
[H]c1c([H])c(OC([H])([H])[H])c([H])c(C(=O)N([H])[H])c1[H],0.0
[H]c1c([H])c(C(=O)N([H])[H])c([H])c([N+](=O)[O-])c1[H],0.0
[H]c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1Cl,0.0
[H]c1c([H])c([H])c2c(=O)n([H])c([H])nc2c1[H],0.0
[H]c1c([H])c(N([H])[H])c([H])c([H])c1C(=O)N([H])[H],0.0
[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N([H])[H])c1[H],0.0
[H]Oc1nc([H])c([H])c2c([H])c([H])c([H])c([H])c12,0.0
[H]c1c([H])c(F)c([H])c(C(=O)N([H])[H])c1[H],0.0
[H]c1c([H])c([H])c2c(c1[H])c(=O)n([H])c(=O)n2[H],0.0
[H]c1c([H])c([H])c2c(c1[H])OC([H])(C([H])([H])C([H])([H])Cl)N([H])C2=O,0.0
[H]c1c([H])c(Cl)c([H])c(C(=O)N([H])[H])c1[H],0.0
[H]c1c([H])c2c3c(c([H])c([H])c([H])c3c1[H])C(=O)N([H])C2=O,0.0
[H]c1c([H])c([H])c2c(nc(C([H])([H])[H])n2[H])c1C(=O)N([H])[H],1.0
[H]Oc1nnc([H])c2c([H])c([H])c([H])c([H])c12,0.0
[H]c1c([H])c2c3c(c([H])c([H])c(N([H])[H])c3c1[H])C(=O)N([H])C2=O,1.0
[H]c1c([H])c(Br)c([H])c(C(=O)N([H])[H])c1[H],0.0
[H]c1c([H])c([H])c2c(=O)n([H])c(C([H])([H])[H])nc2c1[H],0.0
[H]Oc1nc2c([H])c(S(=O)(=O)O[H])c([H])c([H])c2c2c([H])c([H])c(F)c([H])c12,1.0
[H]Oc1nc2c([H])c(F)c([H])c([H])c2c2c(C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c(C(F)(F)F)c(N([H])[H])c([H])c2c2c(C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c(N([H])[H])c([H])c([H])c2c2c([H])c([H])c(N([H])[H])c([H])c12,0.0
[H]Oc1nc2c([H])c(C(F)(F)F)c(N([H])C(=O)C([H])([H])Cl)c([H])c2c2c(C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c(C(=O)O)c([H])c([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c(N([H])[H])c(N([H])[H])c([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
Cl.O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,1.0
[H]Oc1nc2c([N+](=O)[O-])c([H])c([H])c([H])c2c2c([H])c([H])c([H])c([H])c12,0.0
[H]Oc1nc2c([H])c([H])c(N([H])C(=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c(Cl)c([H])c([H])c2c2c([H])c([H])c(Cl)c([H])c12,1.0
[H]Oc1nc2c([H])c(C(=O)OC([H])([H])[H])c([H])c([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c(C(=O)N([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c([H])c2c2c([H])c([H])c(F)c([H])c12,1.0
[H]Oc1nc2c([H])c(C(=O)O)c([H])c([H])c2c2c([H])c([H])c(F)c([H])c12,1.0
[H]Oc1nc2c(N([H])[H])c([H])c([H])c([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c(C(=O)OC([H])([H])[H])c([H])c([H])c2c2c([H])c([H])c(F)c([H])c12,1.0
[H]OC(=O)c1c([H])c([H])c([H])c2nc(O[H])c3c([H])c([H])c([H])c([H])c3c12,0.0
CS(=O)(=O)O.O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,1.0
[H]Oc1nc2c([H])c([N+](=O)[O-])c([H])c([H])c2c2c([H])c([H])c([N+](=O)[O-])c([H])c12,0.0
[H]Oc1nc2c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2c2c([H])c([H])c([H])c([H])c12,0.0
[H]Oc1nc2c([H])c(C(=O)N([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c([H])c2c2c([H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c(C(F)(F)F)c([N+](=O)[O-])c([H])c2c2c(C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc2c([H])c(C(=O)N([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c2c2c([H])c([H])c(F)c([H])c12,1.0
[H]c1c([H])c([H])c2c(c1[H])c(=O)n([H])c1c([H])c([H])c(N([H])[H])c([H])c21,1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])N(C(=O)C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c(F)c([H])c13)C([H])([H])N([H])C([H])([H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])N([H])C([H])([H])C2([H])[H],1.0
O=C(O)C(F)(F)F.Oc1nc2c(c3ccccc13)CCNC2,1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])C([H])([H])N(C(=O)C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])N(C(=O)C([H])([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])N(C(=O)C([H])([H])N1C([H])([H])C([H])([H])C([H])(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])N(C(=O)C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],1.0
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C(=O)N1C([H])([H])c2c(nc(O[H])c3c([H])c([H])c([H])c([H])c23)C([H])([H])C1([H])[H],1.0
[H]c1c(F)c([H])c2c(=O)n([H])c3c(c2c1[H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C3([H])[H],1.0
[H]c1c([H])c([H])c2c(c1[H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C21[H],0.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])N(C(=O)C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])C([H])([H])N(C(=O)C([H])([H])N1C([H])([H])C([H])([H])N(C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C1([H])[H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C1([H])[H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C1([H])[H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c([H])c([H])c13)C([H])([H])C([H])([H])N(C(=O)[C@@]1([H])N([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H],1.0
[H]Oc1nc2c(c3c([H])c([H])c(F)c([H])c13)C([H])([H])N(C(=O)C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],1.0
[H]C1=C(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])c2nc3c([H])c([H])c([H])c([H])c3c(=O)n2[H])C1([H])[H],1.0
[H]Oc1nc(C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])=C(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])nc2c([H])c([H])c([H])c(F)c12,1.0
[H]Oc1nc(C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])=C(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])nc2c([H])c([H])c(Cl)c([H])c12,1.0
[H]Oc1nc(C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])=C(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])nc2c([H])c(Cl)c([H])c([H])c12,1.0
[H]C1=C(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])c2nc3c(Cl)c([H])c([H])c([H])c3c(=O)n2[H])C1([H])[H],1.0
[H]Oc1nc(C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])=C(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])nc2c(Cl)c([H])c(Cl)c([H])c12,1.0
[H]Oc1nc(C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])=C(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])nc2c(C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc(C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])=C(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])nc2c(C([H])([H])C([H])([H])[H])c([H])c([H])c([H])c12,1.0
[H]Oc1nc(C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])=C(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])nc2c(OC([H])([H])[H])c([H])c([H])c([H])c12,1.0
